Area,drought_risk_level
El Salvador,Medium - High (0.6-0.8)
Equatorial Guinea,Medium - High (0.6-0.8)
Eritrea,Medium (0.4-0.6)
Estonia,Medium (0.4-0.6)
Ethiopia,Medium - High (0.6-0.8)
Faroe Islands,No Data
Fiji,No Data
Finland,Medium (0.4-0.6)
France,Medium - High (0.6-0.8)
French Guiana,Low (0.0-0.2)
French Polynesia,No Data
French Southern Territories,No Data
Gabon,Medium (0.4-0.6)
Gambia,Medium - High (0.6-0.8)
Georgia,Medium - High (0.6-0.8)
Germany,Medium - High (0.6-0.8)
Ghana,Medium - High (0.6-0.8)
Greece,Medium - High (0.6-0.8)
Greenland,Low - Medium (0.2-0.4)
Grenada,Medium (0.4-0.6)
Guadeloupe,No Data
Guam,No Data
Guatemala,Medium - High (0.6-0.8)
Guernsey,Medium - High (0.6-0.8)
Guinea,Medium - High (0.6-0.8)
Guinea-Bissau,Medium - High (0.6-0.8)
Guyana,Medium - High (0.6-0.8)
Haiti,Medium - High (0.6-0.8)
Honduras,Medium - High (0.6-0.8)
Hong Kong,Medium (0.4-0.6)
Hungary,High (0.8-1.0)
Iceland,Low (0.0-0.2)
India,High (0.8-1.0)
Indonesia,High (0.8-1.0)
Iran,Medium - High (0.6-0.8)
Iraq,Medium - High (0.6-0.8)
Ireland,Medium - High (0.6-0.8)
Isle of Man,No Data
Israel,High (0.8-1.0)
Italy,High (0.8-1.0)
Jamaica,Medium - High (0.6-0.8)
Japan,Medium - High (0.6-0.8)
Jersey,Medium - High (0.6-0.8)
Jordan,High (0.8-1.0)
Kazakhstan,High (0.8-1.0)
Kenya,High (0.8-1.0)
Kosovo,Medium - High (0.6-0.8)
Kuwait,No Data
Kyrgyzstan,Medium - High (0.6-0.8)
Laos,Medium - High (0.6-0.8)
Latvia,Medium - High (0.6-0.8)
Lebanon,Medium - High (0.6-0.8)
Lesotho,Medium - High (0.6-0.8)
Liberia,Medium (0.4-0.6)
Libya,Medium - High (0.6-0.8)
Liechtenstein,Medium (0.4-0.6)
Lithuania,Medium - High (0.6-0.8)
Luxembourg,Medium (0.4-0.6)
Macao,Medium (0.4-0.6)
Macedonia,Medium - High (0.6-0.8)
Madagascar,Medium (0.4-0.6)
Malawi,Medium - High (0.6-0.8)
Malaysia,Medium - High (0.6-0.8)
Mali,Medium - High (0.6-0.8)
Malta,Medium (0.4-0.6)
Martinique,Medium (0.4-0.6)
Mauritania,Medium (0.4-0.6)
Mauritius,No Data
Mayotte,No Data
Mexico,Medium - High (0.6-0.8)
Micronesia,No Data
Moldova,High (0.8-1.0)
Mongolia,Medium - High (0.6-0.8)
Montenegro,Medium - High (0.6-0.8)
Montserrat,No Data
Morocco,High (0.8-1.0)
Mozambique,Medium - High (0.6-0.8)
Myanmar,Medium - High (0.6-0.8)
Namibia,Medium (0.4-0.6)
Nauru,No Data
Nepal,Medium - High (0.6-0.8)
Netherlands,Medium (0.4-0.6)
New Caledonia,No Data
New Zealand,Medium (0.4-0.6)
Nicaragua,Medium - High (0.6-0.8)
Niger,High (0.8-1.0)
Nigeria,High (0.8-1.0)
North Korea,Medium - High (0.6-0.8)
Northern Cyprus,Medium (0.4-0.6)
Northern Mariana Islands,No Data
Norway,Medium (0.4-0.6)
Oman,No Data
Pakistan,High (0.8-1.0)
Palau,No Data
Palestina,High (0.8-1.0)
Panama,Medium (0.4-0.6)
Papua New Guinea,Medium (0.4-0.6)
Paraguay,Medium - High (0.6-0.8)
Peru,Medium - High (0.6-0.8)
Philippines,Medium - High (0.6-0.8)
Poland,Medium - High (0.6-0.8)
Portugal,Medium - High (0.6-0.8)
Puerto Rico,No Data
Qatar,No Data
Republic of Congo,Low - Medium (0.2-0.4)
Reunion,No Data
Romania,High (0.8-1.0)
Russia,High (0.8-1.0)
Rwanda,Medium - High (0.6-0.8)
Saint Helena,No Data
Saint Kitts and Nevis,No Data
Saint Lucia,Medium (0.4-0.6)
Saint Pierre and Miquelon,Low (0.0-0.2)
Saint Vincent and the Grenadines,Medium (0.4-0.6)
Samoa,No Data
San Marino,Medium - High (0.6-0.8)
Saudi Arabia,High (0.8-1.0)
Senegal,Medium - High (0.6-0.8)
Serbia,High (0.8-1.0)
Seychelles,No Data
Sierra Leone,Medium (0.4-0.6)
Singapore,Medium (0.4-0.6)
Slovakia,Medium - High (0.6-0.8)
Slovenia,Medium - High (0.6-0.8)
Solomon Islands,No Data
Somalia,Medium (0.4-0.6)
South Africa,Medium - High (0.6-0.8)
South Korea,Medium - High (0.6-0.8)
South Sudan,Medium - High (0.6-0.8)
Spain,Medium - High (0.6-0.8)
Sri Lanka,Medium - High (0.6-0.8)
Sudan,Medium - High (0.6-0.8)
Suriname,Low - Medium (0.2-0.4)
Svalbard and Jan Mayen,No Data
Swaziland,Medium (0.4-0.6)
Sweden,Medium - High (0.6-0.8)
Switzerland,Medium - High (0.6-0.8)
Syria,High (0.8-1.0)
São Tomé and Príncipe,Medium - High (0.6-0.8)
Taiwan,Medium (0.4-0.6)
Tajikistan,Medium - High (0.6-0.8)
Tanzania,Medium - High (0.6-0.8)
Thailand,Medium - High (0.6-0.8)
Timor-Leste,Medium - High (0.6-0.8)
Togo,Medium - High (0.6-0.8)
Tokelau,No Data
Tonga,No Data
Trinidad and Tobago,Medium (0.4-0.6)
Tunisia,High (0.8-1.0)
Turkey,Medium - High (0.6-0.8)
Turkmenistan,Medium - High (0.6-0.8)
Turks and Caicos Islands,No Data
Tuvalu,No Data
Uganda,High (0.8-1.0)
Ukraine,High (0.8-1.0)
United Arab Emirates,No Data
United Kingdom,Medium - High (0.6-0.8)
United States,Medium (0.4-0.6)
United States Minor Outlying Islands,No Data
Uruguay,Medium - High (0.6-0.8)
Uzbekistan,High (0.8-1.0)
Vanuatu,No Data
Venezuela,Medium (0.4-0.6)
Vietnam,Medium - High (0.6-0.8)
"Virgin Islands, U.S.",No Data
Wallis and Futuna,No Data
Western Sahara,Medium (0.4-0.6)
Yemen,High (0.8-1.0)
Zambia,Medium - High (0.6-0.8)
Zimbabwe,Medium - High (0.6-0.8)
Åland,Medium (0.4-0.6)
